Total Realized PnL: 1719
Total Trades: 912
Total Contracts Traded: 1492
Average Holding Time: 7010.53 seconds
('KXRTFLIGHTRISK-20', 'No', 7, 9, 2, 0.0)
('KXRTFLIGHTRISK-20', 'No', 6, 9, 3, 0.0)
('KXRTFLIGHTRISK-20', 'No', 13, 9, -4, 0.0)
('KXRTFLIGHTRISK-20', 'No', 7, 9, 2, 0.0)
('KXRTFLIGHTRISK-20', 'No', 7, 9, 2, 0.0)
('KXRTFLIGHTRISK-20', 'No', 7, 9, 2, 0.0)
('KXRTFLIGHTRISK-20', 'No', 7, 9, 2, 0.0)
('KXRTFLIGHTRISK-20', 'No', 7, 9, 2, 0.0)
('KXRTFLIGHTRISK-20', 'No', 7, 9, 2, 0.0)
('KXRTFLIGHTRISK-20', 'No', 7, 9, 2, 0.0)
('KXRTFLIGHTRISK-20', 'No', 7, 9, 2, 0.0)
('KXRTFLIGHTRISK-20', 'No', 7, 9, 2, 0.0)
('KXRTFLIGHTRISK-20', 'No', 7, 9, 2, 0.0)
('KXRTFLIGHTRISK-20', 'No', 7, 9, 2, 0.0)
('KXRTFLIGHTRISK-20', 'No', 12, 9, -3, 0.0)
('KXRTFLIGHTRISK-20', 'No', 12, 9, -3, 0.0)
('KXRTFLIGHTRISK-20', 'No', 12, 9, -3, 0.0)
('KXRTFLIGHTRISK-20', 'No', 12, 9, -3, 0.0)
('KXRTFLIGHTRISK-20', 'No', 12, 9, -3, 0.0)
('KXRTFLIGHTRISK-20', 'No', 13, 9, -4, 0.0)
('KXRTFLIGHTRISK-20', 'No', 12, 9, -3, 0.0)
('KXRTFLIGHTRISK-20', 'No', 12, 9, -3, 0.0)
('KXRTFLIGHTRISK-20', 'No', 12, 9, -3, 0.0)
('KXRTFLIGHTRISK-20', 'No', 12, 9, -3, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 86, 67, -19, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 86, 67, -19, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 86, 67, -19, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 86, 67, -19, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 86, 67, -19, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 86, 67, -19, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 86, 67, -19, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 86, 67, -19, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 86, 67, -19, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 86, 67, -19, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 86, 67, -19, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 86, 67, -19, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 84, 67, -17, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 84, 67, -17, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 84, 67, -17, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 84, 67, -17, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 83, 67, -16, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 84, 67, -17, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 84, 67, -17, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 84, 67, -17, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 84, 67, -17, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 84, 67, -17, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 84, 67, -17, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 84, 67, -17, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 84, 67, -17, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 84, 67, -17, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 84, 67, -17, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 84, 67, -17, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 84, 67, -17, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 84, 67, -17, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 84, 67, -17, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 84, 67, -17, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 84, 67, -17, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 84, 67, -17, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 84, 67, -17, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 84, 67, -17, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 84, 67, -17, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 84, 67, -17, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 84, 67, -17, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 84, 67, -17, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 84, 67, -17, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 84, 67, -17, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 85, 67, -18, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 85, 67, -18, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 85, 67, -18, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 85, 67, -18, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 85, 67, -18, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 85, 67, -18, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 85, 67, -18, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 85, 67, -18, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 85, 67, -18, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 85, 67, -18, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 85, 67, -18, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 85, 67, -18, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 82, 67, -15, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 81, 67, -14, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 81, 67, -14, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 81, 67, -14, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 81, 67, -14, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 81, 67, -14, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 81, 67, -14, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 80, 67, -13, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 80, 67, -13, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 80, 67, -13, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 80, 67, -13, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 78, 67, -11, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 78, 67, -11, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 78, 67, -11, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 53, 39, -14, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 54, 39, -15, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 54, 39, -15, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 50, 39, -11, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 50, 39, -11, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 49, 39, -10, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 49, 39, -10, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 49, 39, -10, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 53, 39, -14, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 53, 39, -14, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 54, 39, -15, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 54, 39, -15, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 54, 39, -15, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 54, 39, -15, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 54, 39, -15, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 52, 39, -13, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 52, 39, -13, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 64, 39, -25, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 63, 39, -24, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 63, 39, -24, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 62, 39, -23, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 65, 39, -26, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 65, 39, -26, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 68, 39, -29, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 68, 39, -29, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 68, 39, -29, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 68, 39, -29, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 68, 39, -29, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 68, 39, -29, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 68, 39, -29, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 68, 39, -29, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 65, 39, -26, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 65, 39, -26, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 65, 39, -26, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 65, 39, -26, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 65, 39, -26, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 65, 39, -26, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 65, 39, -26, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 65, 39, -26, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 66, 39, -27, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 67, 39, -28, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 64, 39, -25, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 61, 39, -22, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 63, 39, -24, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 63, 39, -24, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 62, 39, -23, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 62, 39, -23, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 62, 39, -23, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 62, 39, -23, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 62, 39, -23, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 59, 39, -20, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 56, 39, -17, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 56, 39, -17, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 56, 39, -17, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 55, 39, -16, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 54, 39, -15, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 54, 39, -15, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 45, 39, -6, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 46, 39, -7, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 45, 39, -6, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 45, 39, -6, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 45, 39, -6, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 45, 39, -6, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 45, 39, -6, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 45, 39, -6, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 45, 39, -6, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 45, 39, -6, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 45, 39, -6, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 45, 39, -6, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 45, 39, -6, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 35, 39, 4, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 35, 39, 4, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 35, 39, 4, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 37, 39, 2, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 38, 39, 1, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 38, 39, 1, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 38, 39, 1, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 38, 39, 1, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 38, 39, 1, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 38, 39, 1, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 38, 39, 1, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 38, 39, 1, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 38, 39, 1, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 38, 39, 1, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 38, 39, 1, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 38, 39, 1, 0.0)
('KXRTFLIGHTRISK-20', 'Yes', 38, 39, 1, 0.0)
